nohup: ignoring input
Device: cuda | Experiment: 13 Features | Events: 200000
Starting training...
Epoch 039 | Time: 168.9s | LR: 2.00e-04 | T-Loss: 0.1113 | V-Loss: 0.1112 | T-Prec: 0.7144 | V-Prec: 0.7135 | T-Rec: 0.5321 | V-Rec: 0.5367 | T-P@R0.9: 0.4305 | V-P@R0.9: 0.4330
Epoch 040 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.1114 | V-Loss: 0.1113 | T-Prec: 0.6893 | V-Prec: 0.6911 | T-Rec: 0.5773 | V-Rec: 0.5831 | T-P@R0.9: 0.4305 | V-P@R0.9: 0.4326
Epoch 041 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1106 | T-Prec: 0.7026 | V-Prec: 0.7030 | T-Rec: 0.5582 | V-Rec: 0.5632 | T-P@R0.9: 0.4322 | V-P@R0.9: 0.4344
Epoch 042 | Time: 170.1s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1106 | T-Prec: 0.7108 | V-Prec: 0.7106 | T-Rec: 0.5449 | V-Rec: 0.5496 | T-P@R0.9: 0.4327 | V-P@R0.9: 0.4354
Epoch 043 | Time: 170.6s | LR: 2.00e-04 | T-Loss: 0.1106 | V-Loss: 0.1105 | T-Prec: 0.7066 | V-Prec: 0.7064 | T-Rec: 0.5531 | V-Rec: 0.5589 | T-P@R0.9: 0.4333 | V-P@R0.9: 0.4347
Epoch 044 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1104 | V-Loss: 0.1103 | T-Prec: 0.6987 | V-Prec: 0.6998 | T-Rec: 0.5688 | V-Rec: 0.5739 | T-P@R0.9: 0.4330 | V-P@R0.9: 0.4353
Epoch 045 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.1103 | V-Loss: 0.1102 | T-Prec: 0.7039 | V-Prec: 0.7042 | T-Rec: 0.5612 | V-Rec: 0.5670 | T-P@R0.9: 0.4345 | V-P@R0.9: 0.4358
Epoch 046 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1109 | V-Loss: 0.1111 | T-Prec: 0.7161 | V-Prec: 0.7159 | T-Rec: 0.5374 | V-Rec: 0.5423 | T-P@R0.9: 0.4352 | V-P@R0.9: 0.4375
Epoch 047 | Time: 170.0s | LR: 2.00e-04 | T-Loss: 0.1100 | V-Loss: 0.1100 | T-Prec: 0.7211 | V-Prec: 0.7213 | T-Rec: 0.5331 | V-Rec: 0.5405 | T-P@R0.9: 0.4347 | V-P@R0.9: 0.4367
Epoch 048 | Time: 169.4s | LR: 2.00e-04 | T-Loss: 0.1101 | V-Loss: 0.1100 | T-Prec: 0.7179 | V-Prec: 0.7182 | T-Rec: 0.5403 | V-Rec: 0.5471 | T-P@R0.9: 0.4350 | V-P@R0.9: 0.4365
Epoch 049 | Time: 169.6s | LR: 2.00e-04 | T-Loss: 0.1100 | V-Loss: 0.1100 | T-Prec: 0.7238 | V-Prec: 0.7224 | T-Rec: 0.5325 | V-Rec: 0.5380 | T-P@R0.9: 0.4358 | V-P@R0.9: 0.4372
Epoch 050 | Time: 170.0s | LR: 2.00e-04 | T-Loss: 0.1101 | V-Loss: 0.1101 | T-Prec: 0.6971 | V-Prec: 0.6978 | T-Rec: 0.5773 | V-Rec: 0.5825 | T-P@R0.9: 0.4355 | V-P@R0.9: 0.4372
Epoch 051 | Time: 171.0s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1097 | T-Prec: 0.7298 | V-Prec: 0.7296 | T-Rec: 0.5190 | V-Rec: 0.5264 | T-P@R0.9: 0.4364 | V-P@R0.9: 0.4383
Epoch 052 | Time: 169.9s | LR: 2.00e-04 | T-Loss: 0.1096 | V-Loss: 0.1096 | T-Prec: 0.7092 | V-Prec: 0.7091 | T-Rec: 0.5581 | V-Rec: 0.5650 | T-P@R0.9: 0.4368 | V-P@R0.9: 0.4390
Epoch 053 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.1095 | V-Loss: 0.1095 | T-Prec: 0.7134 | V-Prec: 0.7126 | T-Rec: 0.5554 | V-Rec: 0.5626 | T-P@R0.9: 0.4367 | V-P@R0.9: 0.4383
Epoch 054 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1096 | V-Loss: 0.1096 | T-Prec: 0.7181 | V-Prec: 0.7169 | T-Rec: 0.5448 | V-Rec: 0.5524 | T-P@R0.9: 0.4358 | V-P@R0.9: 0.4374
Epoch 055 | Time: 170.6s | LR: 2.00e-04 | T-Loss: 0.1091 | V-Loss: 0.1091 | T-Prec: 0.7141 | V-Prec: 0.7132 | T-Rec: 0.5576 | V-Rec: 0.5641 | T-P@R0.9: 0.4389 | V-P@R0.9: 0.4406
Epoch 056 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1093 | T-Prec: 0.7135 | V-Prec: 0.7144 | T-Rec: 0.5535 | V-Rec: 0.5597 | T-P@R0.9: 0.4378 | V-P@R0.9: 0.4393
Epoch 057 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1094 | T-Prec: 0.7001 | V-Prec: 0.6992 | T-Rec: 0.5802 | V-Rec: 0.5864 | T-P@R0.9: 0.4375 | V-P@R0.9: 0.4385
Epoch 058 | Time: 170.3s | LR: 2.00e-04 | T-Loss: 0.1089 | V-Loss: 0.1089 | T-Prec: 0.7154 | V-Prec: 0.7155 | T-Rec: 0.5565 | V-Rec: 0.5638 | T-P@R0.9: 0.4385 | V-P@R0.9: 0.4409
Epoch 059 | Time: 170.0s | LR: 2.00e-04 | T-Loss: 0.1091 | V-Loss: 0.1091 | T-Prec: 0.7331 | V-Prec: 0.7324 | T-Rec: 0.5258 | V-Rec: 0.5325 | T-P@R0.9: 0.4391 | V-P@R0.9: 0.4397
