timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 18:39:25.692,0,NVIDIA GeForce RTX 4090,70,49,2520,24564,46,335.58
2026/03/25 18:39:25.699,1,NVIDIA GeForce RTX 4080,73,49,14149,16376,56,264.73
2026/03/25 18:39:55.742,0,NVIDIA GeForce RTX 4090,66,46,2520,24564,44,317.39
2026/03/25 18:39:55.749,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,61.28
2026/03/25 18:40:25.800,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,120.62
2026/03/25 18:40:25.806,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,57.33
2026/03/25 18:40:55.859,0,NVIDIA GeForce RTX 4090,63,44,2520,24564,46,328.49
2026/03/25 18:40:55.869,1,NVIDIA GeForce RTX 4080,18,18,14149,16376,41,63.97
2026/03/25 18:41:25.929,0,NVIDIA GeForce RTX 4090,80,55,2520,24564,46,341.99
2026/03/25 18:41:25.939,1,NVIDIA GeForce RTX 4080,81,54,14149,16376,59,266.37
2026/03/25 18:41:55.986,0,NVIDIA GeForce RTX 4090,58,40,2520,24564,45,327.58
2026/03/25 18:41:55.993,1,NVIDIA GeForce RTX 4080,89,65,14149,16376,56,272.99
2026/03/25 18:42:26.074,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,105.12
2026/03/25 18:42:26.079,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,57.82
2026/03/25 18:42:56.128,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,72.70
2026/03/25 18:42:56.133,1,NVIDIA GeForce RTX 4080,16,10,14149,16376,42,68.43
2026/03/25 18:43:26.177,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,78.88
2026/03/25 18:43:26.183,1,NVIDIA GeForce RTX 4080,81,54,14149,16376,56,268.90
2026/03/25 18:43:56.237,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,68.25
2026/03/25 18:43:56.242,1,NVIDIA GeForce RTX 4080,79,53,14149,16376,57,267.52
2026/03/25 18:44:26.295,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,228.84
2026/03/25 18:44:26.303,1,NVIDIA GeForce RTX 4080,57,38,14149,16376,53,148.23
2026/03/25 18:44:56.401,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,69.23
2026/03/25 18:44:56.406,1,NVIDIA GeForce RTX 4080,90,66,14149,16376,56,275.79
2026/03/25 18:45:26.489,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,68.39
2026/03/25 18:45:26.494,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,58.09
2026/03/25 18:45:56.544,0,NVIDIA GeForce RTX 4090,66,46,2520,24564,45,322.71
2026/03/25 18:45:56.554,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,61.63
2026/03/25 18:46:26.600,0,NVIDIA GeForce RTX 4090,78,54,2520,24564,46,351.61
2026/03/25 18:46:26.607,1,NVIDIA GeForce RTX 4080,81,53,14149,16376,58,269.88
2026/03/25 18:46:56.665,0,NVIDIA GeForce RTX 4090,68,46,2520,24564,45,316.64
2026/03/25 18:46:56.676,1,NVIDIA GeForce RTX 4080,81,60,14149,16376,54,259.60
2026/03/25 18:47:26.720,0,NVIDIA GeForce RTX 4090,72,51,2520,24564,43,145.96
