nohup: ignoring input
Device: cuda | Experiment: t_res feature | Events: 200000
Epoch 035 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1196 | V-Loss: 0.1189 | T-Prec: 0.6681 | V-Prec: 0.6708 | T-Rec: 0.4786 | V-Rec: 0.4823 | T-P@R0.9: 0.4075 | V-P@R0.9: 0.4096
Epoch 036 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1195 | V-Loss: 0.1187 | T-Prec: 0.6628 | V-Prec: 0.6632 | T-Rec: 0.4978 | V-Rec: 0.5022 | T-P@R0.9: 0.4076 | V-P@R0.9: 0.4108
Epoch 037 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1193 | V-Loss: 0.1185 | T-Prec: 0.6649 | V-Prec: 0.6673 | T-Rec: 0.4903 | V-Rec: 0.4957 | T-P@R0.9: 0.4083 | V-P@R0.9: 0.4105
Epoch 038 | Time: 106.4s | LR: 2.00e-04 | T-Loss: 0.1192 | V-Loss: 0.1184 | T-Prec: 0.6696 | V-Prec: 0.6718 | T-Rec: 0.4845 | V-Rec: 0.4899 | T-P@R0.9: 0.4084 | V-P@R0.9: 0.4112
Epoch 039 | Time: 106.2s | LR: 2.00e-04 | T-Loss: 0.1193 | V-Loss: 0.1185 | T-Prec: 0.6722 | V-Prec: 0.6735 | T-Rec: 0.4775 | V-Rec: 0.4841 | T-P@R0.9: 0.4081 | V-P@R0.9: 0.4118
Epoch 040 | Time: 106.7s | LR: 2.00e-04 | T-Loss: 0.1188 | V-Loss: 0.1180 | T-Prec: 0.6760 | V-Prec: 0.6775 | T-Rec: 0.4766 | V-Rec: 0.4822 | T-P@R0.9: 0.4103 | V-P@R0.9: 0.4131
Epoch 041 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1188 | V-Loss: 0.1180 | T-Prec: 0.6654 | V-Prec: 0.6669 | T-Rec: 0.5030 | V-Rec: 0.5091 | T-P@R0.9: 0.4092 | V-P@R0.9: 0.4120
Epoch 042 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1186 | V-Loss: 0.1178 | T-Prec: 0.6706 | V-Prec: 0.6722 | T-Rec: 0.4981 | V-Rec: 0.5032 | T-P@R0.9: 0.4109 | V-P@R0.9: 0.4135
Epoch 043 | Time: 107.1s | LR: 2.00e-04 | T-Loss: 0.1184 | V-Loss: 0.1176 | T-Prec: 0.6754 | V-Prec: 0.6772 | T-Rec: 0.4892 | V-Rec: 0.4942 | T-P@R0.9: 0.4115 | V-P@R0.9: 0.4143
Epoch 044 | Time: 106.5s | LR: 2.00e-04 | T-Loss: 0.1184 | V-Loss: 0.1176 | T-Prec: 0.6626 | V-Prec: 0.6638 | T-Rec: 0.5184 | V-Rec: 0.5243 | T-P@R0.9: 0.4109 | V-P@R0.9: 0.4137
Epoch 045 | Time: 106.4s | LR: 2.00e-04 | T-Loss: 0.1181 | V-Loss: 0.1173 | T-Prec: 0.6662 | V-Prec: 0.6668 | T-Rec: 0.5146 | V-Rec: 0.5199 | T-P@R0.9: 0.4119 | V-P@R0.9: 0.4151
Epoch 046 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1181 | V-Loss: 0.1173 | T-Prec: 0.6724 | V-Prec: 0.6726 | T-Rec: 0.5049 | V-Rec: 0.5104 | T-P@R0.9: 0.4123 | V-P@R0.9: 0.4142
Epoch 047 | Time: 106.5s | LR: 2.00e-04 | T-Loss: 0.1179 | V-Loss: 0.1171 | T-Prec: 0.6809 | V-Prec: 0.6823 | T-Rec: 0.4890 | V-Rec: 0.4950 | T-P@R0.9: 0.4135 | V-P@R0.9: 0.4152
Epoch 048 | Time: 106.9s | LR: 2.00e-04 | T-Loss: 0.1183 | V-Loss: 0.1176 | T-Prec: 0.6512 | V-Prec: 0.6510 | T-Rec: 0.5578 | V-Rec: 0.5629 | T-P@R0.9: 0.4118 | V-P@R0.9: 0.4138
Epoch 049 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1176 | V-Loss: 0.1168 | T-Prec: 0.6705 | V-Prec: 0.6709 | T-Rec: 0.5180 | V-Rec: 0.5241 | T-P@R0.9: 0.4135 | V-P@R0.9: 0.4158
Epoch 050 | Time: 106.2s | LR: 2.00e-04 | T-Loss: 0.1177 | V-Loss: 0.1168 | T-Prec: 0.6711 | V-Prec: 0.6717 | T-Rec: 0.5197 | V-Rec: 0.5260 | T-P@R0.9: 0.4134 | V-P@R0.9: 0.4169
Epoch 051 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1173 | V-Loss: 0.1166 | T-Prec: 0.6735 | V-Prec: 0.6740 | T-Rec: 0.5177 | V-Rec: 0.5236 | T-P@R0.9: 0.4150 | V-P@R0.9: 0.4174
Epoch 052 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1177 | V-Loss: 0.1169 | T-Prec: 0.6972 | V-Prec: 0.6980 | T-Rec: 0.4643 | V-Rec: 0.4698 | T-P@R0.9: 0.4151 | V-P@R0.9: 0.4174
Epoch 053 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1173 | V-Loss: 0.1166 | T-Prec: 0.6745 | V-Prec: 0.6748 | T-Rec: 0.5190 | V-Rec: 0.5246 | T-P@R0.9: 0.4142 | V-P@R0.9: 0.4177
Epoch 054 | Time: 106.0s | LR: 2.00e-04 | T-Loss: 0.1170 | V-Loss: 0.1163 | T-Prec: 0.6648 | V-Prec: 0.6654 | T-Rec: 0.5436 | V-Rec: 0.5502 | T-P@R0.9: 0.4160 | V-P@R0.9: 0.4180
Epoch 055 | Time: 105.4s | LR: 2.00e-04 | T-Loss: 0.1171 | V-Loss: 0.1163 | T-Prec: 0.6789 | V-Prec: 0.6808 | T-Rec: 0.5082 | V-Rec: 0.5149 | T-P@R0.9: 0.4156 | V-P@R0.9: 0.4183
Epoch 056 | Time: 107.1s | LR: 2.00e-04 | T-Loss: 0.1170 | V-Loss: 0.1162 | T-Prec: 0.6934 | V-Prec: 0.6954 | T-Rec: 0.4854 | V-Rec: 0.4920 | T-P@R0.9: 0.4162 | V-P@R0.9: 0.4194
Epoch 057 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1168 | V-Loss: 0.1160 | T-Prec: 0.6930 | V-Prec: 0.6943 | T-Rec: 0.4894 | V-Rec: 0.4950 | T-P@R0.9: 0.4164 | V-P@R0.9: 0.4179
Epoch 058 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1165 | V-Loss: 0.1157 | T-Prec: 0.6755 | V-Prec: 0.6757 | T-Rec: 0.5350 | V-Rec: 0.5415 | T-P@R0.9: 0.4172 | V-P@R0.9: 0.4185
Epoch 059 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1168 | V-Loss: 0.1160 | T-Prec: 0.6918 | V-Prec: 0.6919 | T-Rec: 0.4978 | V-Rec: 0.5015 | T-P@R0.9: 0.4161 | V-P@R0.9: 0.4179
Epoch 060 | Time: 106.2s | LR: 2.00e-04 | T-Loss: 0.1168 | V-Loss: 0.1160 | T-Prec: 0.6969 | V-Prec: 0.6986 | T-Rec: 0.4900 | V-Rec: 0.4952 | T-P@R0.9: 0.4168 | V-P@R0.9: 0.4195
Epoch 061 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1163 | V-Loss: 0.1156 | T-Prec: 0.6849 | V-Prec: 0.6847 | T-Rec: 0.5242 | V-Rec: 0.5297 | T-P@R0.9: 0.4161 | V-P@R0.9: 0.4181
Epoch 062 | Time: 106.0s | LR: 2.00e-04 | T-Loss: 0.1160 | V-Loss: 0.1153 | T-Prec: 0.6893 | V-Prec: 0.6916 | T-Rec: 0.5102 | V-Rec: 0.5158 | T-P@R0.9: 0.4187 | V-P@R0.9: 0.4205
Epoch 063 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1160 | V-Loss: 0.1152 | T-Prec: 0.6708 | V-Prec: 0.6724 | T-Rec: 0.5511 | V-Rec: 0.5570 | T-P@R0.9: 0.4187 | V-P@R0.9: 0.4204
Epoch 064 | Time: 107.6s | LR: 2.00e-04 | T-Loss: 0.1161 | V-Loss: 0.1153 | T-Prec: 0.6813 | V-Prec: 0.6821 | T-Rec: 0.5328 | V-Rec: 0.5368 | T-P@R0.9: 0.4178 | V-P@R0.9: 0.4189
Epoch 065 | Time: 107.5s | LR: 2.00e-04 | T-Loss: 0.1157 | V-Loss: 0.1149 | T-Prec: 0.6948 | V-Prec: 0.6963 | T-Rec: 0.5094 | V-Rec: 0.5147 | T-P@R0.9: 0.4192 | V-P@R0.9: 0.4208
Epoch 066 | Time: 108.8s | LR: 2.00e-04 | T-Loss: 0.1160 | V-Loss: 0.1152 | T-Prec: 0.6889 | V-Prec: 0.6896 | T-Rec: 0.5176 | V-Rec: 0.5218 | T-P@R0.9: 0.4181 | V-P@R0.9: 0.4204
Epoch 067 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1156 | V-Loss: 0.1149 | T-Prec: 0.6829 | V-Prec: 0.6832 | T-Rec: 0.5361 | V-Rec: 0.5416 | T-P@R0.9: 0.4194 | V-P@R0.9: 0.4214
Epoch 068 | Time: 107.8s | LR: 2.00e-04 | T-Loss: 0.1157 | V-Loss: 0.1149 | T-Prec: 0.6728 | V-Prec: 0.6745 | T-Rec: 0.5566 | V-Rec: 0.5620 | T-P@R0.9: 0.4190 | V-P@R0.9: 0.4211
Epoch 069 | Time: 107.4s | LR: 2.00e-04 | T-Loss: 0.1153 | V-Loss: 0.1145 | T-Prec: 0.6917 | V-Prec: 0.6925 | T-Rec: 0.5227 | V-Rec: 0.5281 | T-P@R0.9: 0.4204 | V-P@R0.9: 0.4227
Epoch 070 | Time: 106.0s | LR: 2.00e-04 | T-Loss: 0.1154 | V-Loss: 0.1147 | T-Prec: 0.6844 | V-Prec: 0.6860 | T-Rec: 0.5388 | V-Rec: 0.5449 | T-P@R0.9: 0.4199 | V-P@R0.9: 0.4220
Epoch 071 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1155 | V-Loss: 0.1148 | T-Prec: 0.6871 | V-Prec: 0.6871 | T-Rec: 0.5289 | V-Rec: 0.5326 | T-P@R0.9: 0.4192 | V-P@R0.9: 0.4222
Epoch 072 | Time: 106.4s | LR: 2.00e-04 | T-Loss: 0.1153 | V-Loss: 0.1146 | T-Prec: 0.6841 | V-Prec: 0.6849 | T-Rec: 0.5392 | V-Rec: 0.5436 | T-P@R0.9: 0.4197 | V-P@R0.9: 0.4217
Epoch 073 | Time: 108.4s | LR: 2.00e-04 | T-Loss: 0.1150 | V-Loss: 0.1143 | T-Prec: 0.6785 | V-Prec: 0.6791 | T-Rec: 0.5545 | V-Rec: 0.5597 | T-P@R0.9: 0.4205 | V-P@R0.9: 0.4230
Epoch 074 | Time: 107.1s | LR: 2.00e-04 | T-Loss: 0.1153 | V-Loss: 0.1145 | T-Prec: 0.6959 | V-Prec: 0.6970 | T-Rec: 0.5216 | V-Rec: 0.5262 | T-P@R0.9: 0.4202 | V-P@R0.9: 0.4224
Epoch 075 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1150 | V-Loss: 0.1143 | T-Prec: 0.7001 | V-Prec: 0.7034 | T-Rec: 0.5138 | V-Rec: 0.5193 | T-P@R0.9: 0.4205 | V-P@R0.9: 0.4223
Epoch 076 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1149 | V-Loss: 0.1141 | T-Prec: 0.6977 | V-Prec: 0.6989 | T-Rec: 0.5220 | V-Rec: 0.5276 | T-P@R0.9: 0.4216 | V-P@R0.9: 0.4241
Epoch 077 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1147 | V-Loss: 0.1140 | T-Prec: 0.6934 | V-Prec: 0.6949 | T-Rec: 0.5308 | V-Rec: 0.5360 | T-P@R0.9: 0.4219 | V-P@R0.9: 0.4240
Epoch 078 | Time: 107.3s | LR: 2.00e-04 | T-Loss: 0.1145 | V-Loss: 0.1138 | T-Prec: 0.6856 | V-Prec: 0.6870 | T-Rec: 0.5490 | V-Rec: 0.5535 | T-P@R0.9: 0.4224 | V-P@R0.9: 0.4247
Epoch 079 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1144 | V-Loss: 0.1136 | T-Prec: 0.6863 | V-Prec: 0.6877 | T-Rec: 0.5486 | V-Rec: 0.5530 | T-P@R0.9: 0.4233 | V-P@R0.9: 0.4255
Epoch 080 | Time: 106.9s | LR: 2.00e-04 | T-Loss: 0.1145 | V-Loss: 0.1137 | T-Prec: 0.7037 | V-Prec: 0.7061 | T-Rec: 0.5169 | V-Rec: 0.5226 | T-P@R0.9: 0.4226 | V-P@R0.9: 0.4247
Epoch 081 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1148 | V-Loss: 0.1140 | T-Prec: 0.6943 | V-Prec: 0.6959 | T-Rec: 0.5324 | V-Rec: 0.5364 | T-P@R0.9: 0.4191 | V-P@R0.9: 0.4212
Epoch 082 | Time: 107.6s | LR: 2.00e-04 | T-Loss: 0.1146 | V-Loss: 0.1138 | T-Prec: 0.7248 | V-Prec: 0.7274 | T-Rec: 0.4742 | V-Rec: 0.4792 | T-P@R0.9: 0.4236 | V-P@R0.9: 0.4261
Epoch 083 | Time: 107.9s | LR: 2.00e-04 | T-Loss: 0.1142 | V-Loss: 0.1134 | T-Prec: 0.7000 | V-Prec: 0.7020 | T-Rec: 0.5250 | V-Rec: 0.5296 | T-P@R0.9: 0.4240 | V-P@R0.9: 0.4251
Epoch 084 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1140 | V-Loss: 0.1132 | T-Prec: 0.7024 | V-Prec: 0.7048 | T-Rec: 0.5261 | V-Rec: 0.5313 | T-P@R0.9: 0.4238 | V-P@R0.9: 0.4260
Epoch 085 | Time: 107.6s | LR: 2.00e-04 | T-Loss: 0.1139 | V-Loss: 0.1131 | T-Prec: 0.6876 | V-Prec: 0.6885 | T-Rec: 0.5555 | V-Rec: 0.5607 | T-P@R0.9: 0.4240 | V-P@R0.9: 0.4261
Epoch 086 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1140 | V-Loss: 0.1132 | T-Prec: 0.7062 | V-Prec: 0.7079 | T-Rec: 0.5174 | V-Rec: 0.5216 | T-P@R0.9: 0.4250 | V-P@R0.9: 0.4272
Epoch 087 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1142 | V-Loss: 0.1133 | T-Prec: 0.7101 | V-Prec: 0.7129 | T-Rec: 0.5119 | V-Rec: 0.5157 | T-P@R0.9: 0.4243 | V-P@R0.9: 0.4257
Epoch 088 | Time: 106.8s | LR: 2.00e-04 | T-Loss: 0.1142 | V-Loss: 0.1136 | T-Prec: 0.6787 | V-Prec: 0.6795 | T-Rec: 0.5741 | V-Rec: 0.5780 | T-P@R0.9: 0.4254 | V-P@R0.9: 0.4275
Epoch 089 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1139 | V-Loss: 0.1131 | T-Prec: 0.7158 | V-Prec: 0.7193 | T-Rec: 0.5005 | V-Rec: 0.5058 | T-P@R0.9: 0.4247 | V-P@R0.9: 0.4278
