nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 062 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1146 | V-Loss: 0.1140 | T-P@R0.9: 0.4203 | V-P@R0.9: 0.4217
Epoch 063 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1148 | V-Loss: 0.1141 | T-P@R0.9: 0.4202 | V-P@R0.9: 0.4234
Epoch 064 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1149 | V-Loss: 0.1142 | T-P@R0.9: 0.4210 | V-P@R0.9: 0.4243
Epoch 065 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1150 | V-Loss: 0.1144 | T-P@R0.9: 0.4190 | V-P@R0.9: 0.4227
Epoch 066 | Time: 114.4s | LR: 2.00e-04 | T-Loss: 0.1145 | V-Loss: 0.1139 | T-P@R0.9: 0.4206 | V-P@R0.9: 0.4242
Epoch 067 | Time: 114.5s | LR: 2.00e-04 | T-Loss: 0.1139 | V-Loss: 0.1132 | T-P@R0.9: 0.4238 | V-P@R0.9: 0.4264
Epoch 068 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1139 | V-Loss: 0.1132 | T-P@R0.9: 0.4233 | V-P@R0.9: 0.4259
Epoch 069 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1140 | V-Loss: 0.1134 | T-P@R0.9: 0.4230 | V-P@R0.9: 0.4263
Epoch 070 | Time: 114.4s | LR: 2.00e-04 | T-Loss: 0.1137 | V-Loss: 0.1131 | T-P@R0.9: 0.4236 | V-P@R0.9: 0.4256
Epoch 071 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1139 | V-Loss: 0.1133 | T-P@R0.9: 0.4248 | V-P@R0.9: 0.4276
Epoch 072 | Time: 114.6s | LR: 2.00e-04 | T-Loss: 0.1135 | V-Loss: 0.1128 | T-P@R0.9: 0.4255 | V-P@R0.9: 0.4274
Epoch 073 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1136 | V-Loss: 0.1129 | T-P@R0.9: 0.4243 | V-P@R0.9: 0.4263
Epoch 074 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1134 | V-Loss: 0.1127 | T-P@R0.9: 0.4250 | V-P@R0.9: 0.4267
Epoch 075 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1131 | V-Loss: 0.1125 | T-P@R0.9: 0.4262 | V-P@R0.9: 0.4284
