Starting NORMALIZED 21-FEATURE Marathon on cuda
Epoch 0263 | Time: 31.3s | Val P@R0.9: 0.8564
Epoch 0264 | Time: 52.3s | Val P@R0.9: 0.8866
Epoch 0265 | Time: 31.5s | Val P@R0.9: 0.8662
Epoch 0266 | Time: 55.6s | Val P@R0.9: 0.8855
Epoch 0267 | Time: 33.6s | Val P@R0.9: 0.8747
Epoch 0268 | Time: 51.8s | Val P@R0.9: 0.8570
Epoch 0269 | Time: 31.3s | Val P@R0.9: 0.8283
Epoch 0270 | Time: 59.2s | Val P@R0.9: 0.8635
Epoch 0271 | Time: 31.5s | Val P@R0.9: 0.8513
Epoch 0272 | Time: 57.2s | Val P@R0.9: 0.8750
Epoch 0273 | Time: 32.2s | Val P@R0.9: 0.8539
Epoch 0274 | Time: 58.2s | Val P@R0.9: 0.8538
Epoch 0275 | Time: 32.8s | Val P@R0.9: 0.8661
Epoch 0276 | Time: 41.8s | Val P@R0.9: 0.8652
Epoch 0277 | Time: 40.9s | Val P@R0.9: 0.8789
Epoch 0278 | Time: 42.7s | Val P@R0.9: 0.8646
Epoch 0279 | Time: 41.0s | Val P@R0.9: 0.8761
Epoch 0280 | Time: 42.9s | Val P@R0.9: 0.8537
Epoch 0281 | Time: 41.6s | Val P@R0.9: 0.8652
Epoch 0282 | Time: 41.8s | Val P@R0.9: 0.8556
Epoch 0283 | Time: 41.8s | Val P@R0.9: 0.8655
Epoch 0284 | Time: 42.5s | Val P@R0.9: 0.8642
Epoch 0285 | Time: 41.4s | Val P@R0.9: 0.8508
Epoch 0286 | Time: 45.3s | Val P@R0.9: 0.8654
Epoch 0287 | Time: 39.2s | Val P@R0.9: 0.8790
Epoch 0288 | Time: 42.0s | Val P@R0.9: 0.8581
Epoch 0289 | Time: 40.4s | Val P@R0.9: 0.8670
Epoch 0290 | Time: 42.9s | Val P@R0.9: 0.8494
Epoch 0291 | Time: 41.9s | Val P@R0.9: 0.8783
Epoch 0292 | Time: 31.9s | Val P@R0.9: 0.8635
Epoch 0293 | Time: 54.7s | Val P@R0.9: 0.8732
Epoch 0294 | Time: 31.3s | Val P@R0.9: 0.8649
Epoch 0295 | Time: 48.4s | Val P@R0.9: 0.8768
Epoch 0296 | Time: 32.1s | Val P@R0.9: 0.8372
Epoch 0297 | Time: 51.6s | Val P@R0.9: 0.8509
Epoch 0298 | Time: 33.0s | Val P@R0.9: 0.8617
Epoch 0299 | Time: 60.7s | Val P@R0.9: 0.8786
Epoch 0300 | Time: 31.7s | Val P@R0.9: 0.8568
Epoch 0301 | Time: 52.5s | Val P@R0.9: 0.8703
Epoch 0302 | Time: 31.4s | Val P@R0.9: 0.8730
Epoch 0303 | Time: 54.1s | Val P@R0.9: 0.8659
Epoch 0304 | Time: 31.0s | Val P@R0.9: 0.8764
Epoch 0305 | Time: 56.4s | Val P@R0.9: 0.8555
Epoch 0306 | Time: 31.9s | Val P@R0.9: 0.8908
Epoch 0307 | Time: 52.6s | Val P@R0.9: 0.8571
Epoch 0308 | Time: 33.3s | Val P@R0.9: 0.8578
Epoch 0309 | Time: 49.3s | Val P@R0.9: 0.8807
Epoch 0310 | Time: 32.0s | Val P@R0.9: 0.8694
Epoch 0311 | Time: 55.3s | Val P@R0.9: 0.8680
Epoch 0312 | Time: 31.8s | Val P@R0.9: 0.8561
Epoch 0313 | Time: 52.1s | Val P@R0.9: 0.8820
Epoch 0314 | Time: 33.3s | Val P@R0.9: 0.8591
Epoch 0315 | Time: 56.8s | Val P@R0.9: 0.8733
Epoch 0316 | Time: 35.3s | Val P@R0.9: 0.8726
Epoch 0317 | Time: 54.3s | Val P@R0.9: 0.8598
Epoch 0318 | Time: 40.2s | Val P@R0.9: 0.8454
Epoch 0319 | Time: 46.6s | Val P@R0.9: 0.8588
Epoch 0320 | Time: 41.9s | Val P@R0.9: 0.8694
Epoch 0321 | Time: 45.3s | Val P@R0.9: 0.8577
Epoch 0322 | Time: 41.9s | Val P@R0.9: 0.8583
Epoch 0323 | Time: 40.5s | Val P@R0.9: 0.8545
Epoch 0324 | Time: 45.0s | Val P@R0.9: 0.8595
Epoch 0325 | Time: 43.9s | Val P@R0.9: 0.8843
Epoch 0326 | Time: 48.3s | Val P@R0.9: 0.8830
Epoch 0327 | Time: 41.8s | Val P@R0.9: 0.8844
Epoch 0328 | Time: 45.5s | Val P@R0.9: 0.8708
Epoch 0329 | Time: 40.9s | Val P@R0.9: 0.8854
Epoch 0330 | Time: 45.0s | Val P@R0.9: 0.8826
Epoch 0331 | Time: 42.1s | Val P@R0.9: 0.8822
Epoch 0332 | Time: 45.4s | Val P@R0.9: 0.8436
Epoch 0333 | Time: 32.1s | Val P@R0.9: 0.8745
Epoch 0334 | Time: 53.8s | Val P@R0.9: 0.8474
Epoch 0335 | Time: 32.6s | Val P@R0.9: 0.8753
Epoch 0336 | Time: 58.4s | Val P@R0.9: 0.8482
Epoch 0337 | Time: 32.9s | Val P@R0.9: 0.8605
Epoch 0338 | Time: 54.0s | Val P@R0.9: 0.8852
Epoch 0339 | Time: 32.3s | Val P@R0.9: 0.8819
Epoch 0340 | Time: 51.1s | Val P@R0.9: 0.8622
Epoch 0341 | Time: 32.3s | Val P@R0.9: 0.8619
Epoch 0342 | Time: 51.7s | Val P@R0.9: 0.8610
Epoch 0343 | Time: 32.8s | Val P@R0.9: 0.8626
Epoch 0344 | Time: 52.9s | Val P@R0.9: 0.8745
Epoch 0345 | Time: 32.1s | Val P@R0.9: 0.8639
Epoch 0346 | Time: 50.3s | Val P@R0.9: 0.8758
Epoch 0347 | Time: 32.1s | Val P@R0.9: 0.8775
Epoch 0348 | Time: 50.0s | Val P@R0.9: 0.8737
Epoch 0349 | Time: 31.8s | Val P@R0.9: 0.8845
Epoch 0350 | Time: 51.1s | Val P@R0.9: 0.8720
Epoch 0351 | Time: 31.3s | Val P@R0.9: 0.8604
Epoch 0352 | Time: 50.1s | Val P@R0.9: 0.8622
Epoch 0353 | Time: 31.0s | Val P@R0.9: 0.8727
Epoch 0354 | Time: 53.4s | Val P@R0.9: 0.8743
Epoch 0355 | Time: 30.7s | Val P@R0.9: 0.8735
Epoch 0356 | Time: 48.3s | Val P@R0.9: 0.8970
Epoch 0357 | Time: 30.1s | Val P@R0.9: 0.8764
Epoch 0358 | Time: 38.1s | Val P@R0.9: 0.8658
Epoch 0359 | Time: 39.9s | Val P@R0.9: 0.8881
Epoch 0360 | Time: 39.3s | Val P@R0.9: 0.8626
Epoch 0361 | Time: 37.3s | Val P@R0.9: 0.8880
Epoch 0362 | Time: 39.0s | Val P@R0.9: 0.8774
Epoch 0363 | Time: 40.2s | Val P@R0.9: 0.8790
Epoch 0364 | Time: 38.8s | Val P@R0.9: 0.8770
Epoch 0365 | Time: 39.6s | Val P@R0.9: 0.8736
Epoch 0366 | Time: 39.8s | Val P@R0.9: 0.8737
Epoch 0367 | Time: 39.2s | Val P@R0.9: 0.8754
Epoch 0368 | Time: 37.7s | Val P@R0.9: 0.8846
Epoch 0369 | Time: 39.2s | Val P@R0.9: 0.8772
Epoch 0370 | Time: 40.6s | Val P@R0.9: 0.8785
Epoch 0371 | Time: 38.7s | Val P@R0.9: 0.8505
Epoch 0372 | Time: 38.2s | Val P@R0.9: 0.8769
Epoch 0373 | Time: 39.6s | Val P@R0.9: 0.8784
Epoch 0374 | Time: 39.9s | Val P@R0.9: 0.8746
Epoch 0375 | Time: 38.9s | Val P@R0.9: 0.8739
Epoch 0376 | Time: 30.5s | Val P@R0.9: 0.8746
Epoch 0377 | Time: 50.3s | Val P@R0.9: 0.8953
Epoch 0378 | Time: 30.5s | Val P@R0.9: 0.8612
Epoch 0379 | Time: 48.4s | Val P@R0.9: 0.8476
Epoch 0380 | Time: 30.2s | Val P@R0.9: 0.8816
Epoch 0381 | Time: 45.4s | Val P@R0.9: 0.8904
Epoch 0382 | Time: 30.6s | Val P@R0.9: 0.8655
Epoch 0383 | Time: 51.1s | Val P@R0.9: 0.8650
Epoch 0384 | Time: 30.4s | Val P@R0.9: 0.8634
Epoch 0385 | Time: 47.5s | Val P@R0.9: 0.8765
Epoch 0386 | Time: 30.8s | Val P@R0.9: 0.8636
Epoch 0387 | Time: 51.0s | Val P@R0.9: 0.8678
Epoch 0388 | Time: 30.3s | Val P@R0.9: 0.8878
Epoch 0389 | Time: 47.7s | Val P@R0.9: 0.8502
Epoch 0390 | Time: 30.2s | Val P@R0.9: 0.8745
Epoch 0391 | Time: 47.9s | Val P@R0.9: 0.8642
Epoch 0392 | Time: 30.3s | Val P@R0.9: 0.8639
Epoch 0393 | Time: 48.5s | Val P@R0.9: 0.8763
Epoch 0394 | Time: 30.7s | Val P@R0.9: 0.8665
Epoch 0395 | Time: 48.8s | Val P@R0.9: 0.8890
Epoch 0396 | Time: 30.3s | Val P@R0.9: 0.8887
Epoch 0397 | Time: 49.4s | Val P@R0.9: 0.8785
Epoch 0398 | Time: 30.4s | Val P@R0.9: 0.8851
Epoch 0399 | Time: 46.8s | Val P@R0.9: 0.8666
Epoch 0400 | Time: 30.1s | Val P@R0.9: 0.8807
Epoch 0401 | Time: 39.2s | Val P@R0.9: 0.8779
Epoch 0402 | Time: 39.4s | Val P@R0.9: 0.8803
Epoch 0403 | Time: 38.5s | Val P@R0.9: 0.8791
Epoch 0404 | Time: 43.3s | Val P@R0.9: 0.8665
Epoch 0405 | Time: 38.9s | Val P@R0.9: 0.8765
Epoch 0406 | Time: 40.1s | Val P@R0.9: 0.8527
Epoch 0407 | Time: 39.8s | Val P@R0.9: 0.8797
Epoch 0408 | Time: 40.0s | Val P@R0.9: 0.8800
Epoch 0409 | Time: 39.5s | Val P@R0.9: 0.8922
Epoch 0410 | Time: 38.8s | Val P@R0.9: 0.8696
Epoch 0411 | Time: 40.0s | Val P@R0.9: 0.8913
Epoch 0412 | Time: 38.5s | Val P@R0.9: 0.8677
Epoch 0413 | Time: 39.4s | Val P@R0.9: 0.8933
Epoch 0414 | Time: 40.2s | Val P@R0.9: 0.8804
Epoch 0415 | Time: 40.0s | Val P@R0.9: 0.8673
Epoch 0416 | Time: 38.0s | Val P@R0.9: 0.8798
Epoch 0417 | Time: 30.0s | Val P@R0.9: 0.8792
Epoch 0418 | Time: 48.2s | Val P@R0.9: 0.8782
Epoch 0419 | Time: 30.2s | Val P@R0.9: 0.8889
Epoch 0420 | Time: 51.7s | Val P@R0.9: 0.8999
Epoch 0421 | Time: 30.7s | Val P@R0.9: 0.8814
