Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0035 | Time: 44.9s | T-Loss: 0.0703 | V-Loss: 0.0676 | T-Prec: 0.8604 | V-Prec: 0.8325 | T-Rec: 0.7867 | V-Rec: 0.7461 | T-P@R0.9: 0.6555 | V-P@R0.9: 0.5138
Epoch 0036 | Time: 45.0s | T-Loss: 0.0719 | V-Loss: 0.0674 | T-Prec: 0.8673 | V-Prec: 0.8467 | T-Rec: 0.7770 | V-Rec: 0.7298 | T-P@R0.9: 0.6542 | V-P@R0.9: 0.5125
Epoch 0037 | Time: 44.4s | T-Loss: 0.0714 | V-Loss: 0.0668 | T-Prec: 0.8664 | V-Prec: 0.8371 | T-Rec: 0.7893 | V-Rec: 0.7462 | T-P@R0.9: 0.6631 | V-P@R0.9: 0.5176
Epoch 0038 | Time: 48.4s | T-Loss: 0.0692 | V-Loss: 0.0674 | T-Prec: 0.8758 | V-Prec: 0.8526 | T-Rec: 0.7672 | V-Rec: 0.7275 | T-P@R0.9: 0.6305 | V-P@R0.9: 0.5094
Epoch 0039 | Time: 43.7s | T-Loss: 0.0686 | V-Loss: 0.0665 | T-Prec: 0.8669 | V-Prec: 0.8448 | T-Rec: 0.7830 | V-Rec: 0.7389 | T-P@R0.9: 0.6584 | V-P@R0.9: 0.5208
Epoch 0040 | Time: 44.1s | T-Loss: 0.0733 | V-Loss: 0.0666 | T-Prec: 0.8719 | V-Prec: 0.8406 | T-Rec: 0.7871 | V-Rec: 0.7406 | T-P@R0.9: 0.6845 | V-P@R0.9: 0.5258
Epoch 0041 | Time: 45.8s | T-Loss: 0.0676 | V-Loss: 0.0668 | T-Prec: 0.8538 | V-Prec: 0.8281 | T-Rec: 0.7892 | V-Rec: 0.7557 | T-P@R0.9: 0.6429 | V-P@R0.9: 0.5296
Epoch 0042 | Time: 46.1s | T-Loss: 0.0691 | V-Loss: 0.0659 | T-Prec: 0.8783 | V-Prec: 0.8542 | T-Rec: 0.7635 | V-Rec: 0.7289 | T-P@R0.9: 0.6411 | V-P@R0.9: 0.5296
Epoch 0043 | Time: 44.9s | T-Loss: 0.0693 | V-Loss: 0.0656 | T-Prec: 0.8646 | V-Prec: 0.8399 | T-Rec: 0.7895 | V-Rec: 0.7503 | T-P@R0.9: 0.6566 | V-P@R0.9: 0.5314
Epoch 0044 | Time: 45.5s | T-Loss: 0.0702 | V-Loss: 0.0668 | T-Prec: 0.8903 | V-Prec: 0.8650 | T-Rec: 0.7487 | V-Rec: 0.7081 | T-P@R0.9: 0.6605 | V-P@R0.9: 0.5264
