Timestamp, GPU_ID, Temp, Power, Usage, Mem_Used
2026/03/19 05:09:13.569, 0, 44, 26.56, 0, 2
2026/03/19 05:09:13.575, 1, 40, 32.54, 0, 2
2026/03/19 05:09:31.508, 0, 44, 27.41, 0, 2
2026/03/19 05:09:31.514, 1, 40, 32.65, 0, 2
2026/03/19 05:09:43.629, 0, 44, 26.82, 0, 2
2026/03/19 05:09:43.635, 1, 40, 31.66, 0, 2
2026/03/19 05:10:01.569, 0, 44, 26.71, 0, 2
2026/03/19 05:10:01.575, 1, 40, 33.04, 0, 2
2026/03/19 05:10:13.690, 0, 44, 26.99, 0, 2
2026/03/19 05:10:13.696, 1, 40, 33.15, 0, 2
2026/03/19 05:10:31.629, 0, 44, 26.99, 0, 2
2026/03/19 05:10:31.635, 1, 40, 32.96, 0, 2
2026/03/19 05:10:43.751, 0, 44, 27.16, 0, 2
2026/03/19 05:10:43.757, 1, 40, 33.15, 0, 2
2026/03/19 05:11:01.688, 0, 44, 26.86, 0, 2
2026/03/19 05:11:01.695, 1, 40, 32.26, 0, 2
2026/03/19 05:11:13.810, 0, 44, 27.29, 0, 2
2026/03/19 05:11:13.816, 1, 40, 32.89, 0, 2
2026/03/19 05:11:31.749, 0, 44, 26.81, 0, 2
2026/03/19 05:11:31.755, 1, 40, 33.18, 0, 2
2026/03/19 05:11:43.871, 0, 44, 26.94, 0, 2
2026/03/19 05:11:43.877, 1, 40, 31.48, 0, 2
2026/03/19 05:12:01.810, 0, 44, 27.18, 0, 2
2026/03/19 05:12:01.816, 1, 40, 32.42, 0, 2
2026/03/19 05:12:13.932, 0, 44, 26.83, 0, 2
2026/03/19 05:12:13.938, 1, 40, 31.99, 0, 2
2026/03/19 05:12:31.871, 0, 44, 26.99, 0, 2
2026/03/19 05:12:31.878, 1, 40, 32.72, 0, 2
2026/03/19 05:12:43.993, 0, 44, 27.00, 0, 2
2026/03/19 05:12:44.000, 1, 40, 33.40, 0, 2
2026/03/19 05:13:01.933, 0, 44, 26.63, 0, 2
2026/03/19 05:13:01.939, 1, 40, 32.83, 0, 2
2026/03/19 05:13:14.053, 0, 44, 26.47, 0, 2
2026/03/19 05:13:14.059, 1, 40, 33.54, 0, 2
2026/03/19 05:13:31.994, 0, 44, 26.61, 0, 2
2026/03/19 05:13:32.000, 1, 40, 33.08, 0, 2
2026/03/19 05:13:44.112, 0, 44, 26.80, 0, 2
2026/03/19 05:13:44.119, 1, 40, 32.97, 0, 2
2026/03/19 05:14:02.055, 0, 44, 26.73, 0, 2
