Starting OVERFIT experiment: 200000 events, 300 epochs, k=2
Epoch 042 | T-Loss: 0.1295 | V-Loss: 0.1293 | T-Prec: 0.6508 | V-Prec: 0.6535 | T-Rec: 0.4519 | V-Rec: 0.4583 | T-P@R0.9: 0.3504 | V-P@R0.9: 0.3540
Epoch 043 | T-Loss: 0.1297 | V-Loss: 0.1296 | T-Prec: 0.6505 | V-Prec: 0.6540 | T-Rec: 0.4500 | V-Rec: 0.4577 | T-P@R0.9: 0.3504 | V-P@R0.9: 0.3548
Epoch 044 | T-Loss: 0.1291 | V-Loss: 0.1288 | T-Prec: 0.6551 | V-Prec: 0.6584 | T-Rec: 0.4416 | V-Rec: 0.4487 | T-P@R0.9: 0.3511 | V-P@R0.9: 0.3555
Epoch 045 | T-Loss: 0.1291 | V-Loss: 0.1288 | T-Prec: 0.6593 | V-Prec: 0.6622 | T-Rec: 0.4319 | V-Rec: 0.4386 | T-P@R0.9: 0.3514 | V-P@R0.9: 0.3557
Epoch 046 | T-Loss: 0.1300 | V-Loss: 0.1301 | T-Prec: 0.6571 | V-Prec: 0.6599 | T-Rec: 0.4348 | V-Rec: 0.4421 | T-P@R0.9: 0.3499 | V-P@R0.9: 0.3547
Epoch 047 | T-Loss: 0.1290 | V-Loss: 0.1286 | T-Prec: 0.6617 | V-Prec: 0.6650 | T-Rec: 0.4280 | V-Rec: 0.4352 | T-P@R0.9: 0.3516 | V-P@R0.9: 0.3560
Epoch 048 | T-Loss: 0.1294 | V-Loss: 0.1292 | T-Prec: 0.6470 | V-Prec: 0.6490 | T-Rec: 0.4629 | V-Rec: 0.4682 | T-P@R0.9: 0.3511 | V-P@R0.9: 0.3551
Epoch 049 | T-Loss: 0.1289 | V-Loss: 0.1286 | T-Prec: 0.6586 | V-Prec: 0.6618 | T-Rec: 0.4379 | V-Rec: 0.4441 | T-P@R0.9: 0.3511 | V-P@R0.9: 0.3564
Epoch 050 | T-Loss: 0.1289 | V-Loss: 0.1286 | T-Prec: 0.6560 | V-Prec: 0.6594 | T-Rec: 0.4444 | V-Rec: 0.4511 | T-P@R0.9: 0.3513 | V-P@R0.9: 0.3560
Epoch 051 | T-Loss: 0.1289 | V-Loss: 0.1286 | T-Prec: 0.6583 | V-Prec: 0.6608 | T-Rec: 0.4415 | V-Rec: 0.4477 | T-P@R0.9: 0.3518 | V-P@R0.9: 0.3563
Epoch 052 | T-Loss: 0.1288 | V-Loss: 0.1285 | T-Prec: 0.6607 | V-Prec: 0.6641 | T-Rec: 0.4332 | V-Rec: 0.4400 | T-P@R0.9: 0.3520 | V-P@R0.9: 0.3567
Epoch 053 | T-Loss: 0.1288 | V-Loss: 0.1284 | T-Prec: 0.6592 | V-Prec: 0.6621 | T-Rec: 0.4415 | V-Rec: 0.4473 | T-P@R0.9: 0.3518 | V-P@R0.9: 0.3564
Epoch 054 | T-Loss: 0.1289 | V-Loss: 0.1285 | T-Prec: 0.6588 | V-Prec: 0.6626 | T-Rec: 0.4401 | V-Rec: 0.4472 | T-P@R0.9: 0.3514 | V-P@R0.9: 0.3565
Epoch 055 | T-Loss: 0.1288 | V-Loss: 0.1285 | T-Prec: 0.6550 | V-Prec: 0.6576 | T-Rec: 0.4525 | V-Rec: 0.4593 | T-P@R0.9: 0.3522 | V-P@R0.9: 0.3573
Epoch 056 | T-Loss: 0.1287 | V-Loss: 0.1284 | T-Prec: 0.6525 | V-Prec: 0.6552 | T-Rec: 0.4586 | V-Rec: 0.4650 | T-P@R0.9: 0.3526 | V-P@R0.9: 0.3570
Epoch 057 | T-Loss: 0.1287 | V-Loss: 0.1284 | T-Prec: 0.6609 | V-Prec: 0.6637 | T-Rec: 0.4391 | V-Rec: 0.4454 | T-P@R0.9: 0.3524 | V-P@R0.9: 0.3570
Epoch 058 | T-Loss: 0.1289 | V-Loss: 0.1285 | T-Prec: 0.6667 | V-Prec: 0.6696 | T-Rec: 0.4238 | V-Rec: 0.4312 | T-P@R0.9: 0.3518 | V-P@R0.9: 0.3564
Epoch 059 | T-Loss: 0.1287 | V-Loss: 0.1283 | T-Prec: 0.6598 | V-Prec: 0.6630 | T-Rec: 0.4405 | V-Rec: 0.4479 | T-P@R0.9: 0.3525 | V-P@R0.9: 0.3572
Epoch 060 | T-Loss: 0.1286 | V-Loss: 0.1283 | T-Prec: 0.6576 | V-Prec: 0.6607 | T-Rec: 0.4468 | V-Rec: 0.4538 | T-P@R0.9: 0.3526 | V-P@R0.9: 0.3575
Epoch 061 | T-Loss: 0.1286 | V-Loss: 0.1283 | T-Prec: 0.6569 | V-Prec: 0.6604 | T-Rec: 0.4501 | V-Rec: 0.4571 | T-P@R0.9: 0.3524 | V-P@R0.9: 0.3570
Epoch 062 | T-Loss: 0.1285 | V-Loss: 0.1282 | T-Prec: 0.6575 | V-Prec: 0.6606 | T-Rec: 0.4498 | V-Rec: 0.4558 | T-P@R0.9: 0.3527 | V-P@R0.9: 0.3579
Epoch 063 | T-Loss: 0.1286 | V-Loss: 0.1283 | T-Prec: 0.6544 | V-Prec: 0.6570 | T-Rec: 0.4571 | V-Rec: 0.4635 | T-P@R0.9: 0.3531 | V-P@R0.9: 0.3575
Epoch 064 | T-Loss: 0.1294 | V-Loss: 0.1295 | T-Prec: 0.6636 | V-Prec: 0.6660 | T-Rec: 0.4314 | V-Rec: 0.4380 | T-P@R0.9: 0.3529 | V-P@R0.9: 0.3577
Epoch 065 | T-Loss: 0.1285 | V-Loss: 0.1282 | T-Prec: 0.6620 | V-Prec: 0.6651 | T-Rec: 0.4404 | V-Rec: 0.4470 | T-P@R0.9: 0.3526 | V-P@R0.9: 0.3581
Epoch 066 | T-Loss: 0.1286 | V-Loss: 0.1282 | T-Prec: 0.6634 | V-Prec: 0.6658 | T-Rec: 0.4380 | V-Rec: 0.4442 | T-P@R0.9: 0.3525 | V-P@R0.9: 0.3572
Epoch 067 | T-Loss: 0.1286 | V-Loss: 0.1283 | T-Prec: 0.6520 | V-Prec: 0.6551 | T-Rec: 0.4638 | V-Rec: 0.4706 | T-P@R0.9: 0.3528 | V-P@R0.9: 0.3581
Epoch 068 | T-Loss: 0.1284 | V-Loss: 0.1280 | T-Prec: 0.6569 | V-Prec: 0.6600 | T-Rec: 0.4542 | V-Rec: 0.4611 | T-P@R0.9: 0.3533 | V-P@R0.9: 0.3579
Epoch 069 | T-Loss: 0.1284 | V-Loss: 0.1280 | T-Prec: 0.6605 | V-Prec: 0.6634 | T-Rec: 0.4459 | V-Rec: 0.4525 | T-P@R0.9: 0.3534 | V-P@R0.9: 0.3584
Epoch 070 | T-Loss: 0.1285 | V-Loss: 0.1281 | T-Prec: 0.6701 | V-Prec: 0.6737 | T-Rec: 0.4189 | V-Rec: 0.4270 | T-P@R0.9: 0.3534 | V-P@R0.9: 0.3579
Epoch 071 | T-Loss: 0.1283 | V-Loss: 0.1279 | T-Prec: 0.6575 | V-Prec: 0.6606 | T-Rec: 0.4529 | V-Rec: 0.4598 | T-P@R0.9: 0.3540 | V-P@R0.9: 0.3583
Epoch 072 | T-Loss: 0.1289 | V-Loss: 0.1285 | T-Prec: 0.6471 | V-Prec: 0.6500 | T-Rec: 0.4768 | V-Rec: 0.4832 | T-P@R0.9: 0.3546 | V-P@R0.9: 0.3590
Epoch 073 | T-Loss: 0.1284 | V-Loss: 0.1281 | T-Prec: 0.6574 | V-Prec: 0.6594 | T-Rec: 0.4546 | V-Rec: 0.4595 | T-P@R0.9: 0.3541 | V-P@R0.9: 0.3580
Epoch 074 | T-Loss: 0.1289 | V-Loss: 0.1285 | T-Prec: 0.6470 | V-Prec: 0.6505 | T-Rec: 0.4780 | V-Rec: 0.4846 | T-P@R0.9: 0.3538 | V-P@R0.9: 0.3590
Epoch 075 | T-Loss: 0.1285 | V-Loss: 0.1283 | T-Prec: 0.6602 | V-Prec: 0.6629 | T-Rec: 0.4462 | V-Rec: 0.4529 | T-P@R0.9: 0.3542 | V-P@R0.9: 0.3593
Epoch 076 | T-Loss: 0.1285 | V-Loss: 0.1281 | T-Prec: 0.6574 | V-Prec: 0.6603 | T-Rec: 0.4559 | V-Rec: 0.4624 | T-P@R0.9: 0.3526 | V-P@R0.9: 0.3584
Epoch 077 | T-Loss: 0.1284 | V-Loss: 0.1282 | T-Prec: 0.6589 | V-Prec: 0.6613 | T-Rec: 0.4489 | V-Rec: 0.4546 | T-P@R0.9: 0.3544 | V-P@R0.9: 0.3586
Epoch 078 | T-Loss: 0.1283 | V-Loss: 0.1279 | T-Prec: 0.6609 | V-Prec: 0.6636 | T-Rec: 0.4445 | V-Rec: 0.4518 | T-P@R0.9: 0.3547 | V-P@R0.9: 0.3592
Epoch 079 | T-Loss: 0.1282 | V-Loss: 0.1278 | T-Prec: 0.6595 | V-Prec: 0.6621 | T-Rec: 0.4499 | V-Rec: 0.4570 | T-P@R0.9: 0.3552 | V-P@R0.9: 0.3599
Epoch 080 | T-Loss: 0.1283 | V-Loss: 0.1280 | T-Prec: 0.6604 | V-Prec: 0.6630 | T-Rec: 0.4495 | V-Rec: 0.4561 | T-P@R0.9: 0.3536 | V-P@R0.9: 0.3591
Epoch 081 | T-Loss: 0.1283 | V-Loss: 0.1279 | T-Prec: 0.6554 | V-Prec: 0.6577 | T-Rec: 0.4609 | V-Rec: 0.4670 | T-P@R0.9: 0.3545 | V-P@R0.9: 0.3586
Epoch 082 | T-Loss: 0.1282 | V-Loss: 0.1279 | T-Prec: 0.6554 | V-Prec: 0.6580 | T-Rec: 0.4607 | V-Rec: 0.4677 | T-P@R0.9: 0.3554 | V-P@R0.9: 0.3598
Epoch 083 | T-Loss: 0.1282 | V-Loss: 0.1278 | T-Prec: 0.6563 | V-Prec: 0.6594 | T-Rec: 0.4599 | V-Rec: 0.4675 | T-P@R0.9: 0.3547 | V-P@R0.9: 0.3592
Epoch 084 | T-Loss: 0.1285 | V-Loss: 0.1284 | T-Prec: 0.6572 | V-Prec: 0.6602 | T-Rec: 0.4547 | V-Rec: 0.4613 | T-P@R0.9: 0.3551 | V-P@R0.9: 0.3596
Epoch 085 | T-Loss: 0.1282 | V-Loss: 0.1279 | T-Prec: 0.6589 | V-Prec: 0.6619 | T-Rec: 0.4517 | V-Rec: 0.4580 | T-P@R0.9: 0.3553 | V-P@R0.9: 0.3602
Epoch 086 | T-Loss: 0.1283 | V-Loss: 0.1280 | T-Prec: 0.6515 | V-Prec: 0.6538 | T-Rec: 0.4717 | V-Rec: 0.4786 | T-P@R0.9: 0.3548 | V-P@R0.9: 0.3594
Epoch 087 | T-Loss: 0.1283 | V-Loss: 0.1279 | T-Prec: 0.6534 | V-Prec: 0.6562 | T-Rec: 0.4683 | V-Rec: 0.4752 | T-P@R0.9: 0.3550 | V-P@R0.9: 0.3604
Epoch 088 | T-Loss: 0.1281 | V-Loss: 0.1278 | T-Prec: 0.6631 | V-Prec: 0.6654 | T-Rec: 0.4446 | V-Rec: 0.4506 | T-P@R0.9: 0.3551 | V-P@R0.9: 0.3597
Epoch 089 | T-Loss: 0.1281 | V-Loss: 0.1277 | T-Prec: 0.6611 | V-Prec: 0.6636 | T-Rec: 0.4507 | V-Rec: 0.4574 | T-P@R0.9: 0.3545 | V-P@R0.9: 0.3598
Epoch 090 | T-Loss: 0.1281 | V-Loss: 0.1279 | T-Prec: 0.6601 | V-Prec: 0.6627 | T-Rec: 0.4514 | V-Rec: 0.4582 | T-P@R0.9: 0.3559 | V-P@R0.9: 0.3609
Epoch 091 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6638 | V-Prec: 0.6659 | T-Rec: 0.4442 | V-Rec: 0.4508 | T-P@R0.9: 0.3561 | V-P@R0.9: 0.3604
Epoch 092 | T-Loss: 0.1282 | V-Loss: 0.1279 | T-Prec: 0.6668 | V-Prec: 0.6693 | T-Rec: 0.4356 | V-Rec: 0.4415 | T-P@R0.9: 0.3553 | V-P@R0.9: 0.3593
Epoch 093 | T-Loss: 0.1279 | V-Loss: 0.1276 | T-Prec: 0.6597 | V-Prec: 0.6622 | T-Rec: 0.4537 | V-Rec: 0.4611 | T-P@R0.9: 0.3555 | V-P@R0.9: 0.3600
Epoch 094 | T-Loss: 0.1279 | V-Loss: 0.1276 | T-Prec: 0.6638 | V-Prec: 0.6667 | T-Rec: 0.4441 | V-Rec: 0.4512 | T-P@R0.9: 0.3558 | V-P@R0.9: 0.3607
Epoch 095 | T-Loss: 0.1279 | V-Loss: 0.1274 | T-Prec: 0.6626 | V-Prec: 0.6652 | T-Rec: 0.4488 | V-Rec: 0.4558 | T-P@R0.9: 0.3563 | V-P@R0.9: 0.3609
Epoch 096 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6567 | V-Prec: 0.6590 | T-Rec: 0.4599 | V-Rec: 0.4673 | T-P@R0.9: 0.3560 | V-P@R0.9: 0.3604
Epoch 097 | T-Loss: 0.1279 | V-Loss: 0.1276 | T-Prec: 0.6681 | V-Prec: 0.6701 | T-Rec: 0.4362 | V-Rec: 0.4437 | T-P@R0.9: 0.3559 | V-P@R0.9: 0.3605
Epoch 098 | T-Loss: 0.1280 | V-Loss: 0.1276 | T-Prec: 0.6678 | V-Prec: 0.6708 | T-Rec: 0.4345 | V-Rec: 0.4410 | T-P@R0.9: 0.3558 | V-P@R0.9: 0.3605
