nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 109 | T-Loss: 0.1210 | V-Loss: 0.1209 | V-P@R0.9: 0.3781
Epoch 110 | T-Loss: 0.1208 | V-Loss: 0.1207 | V-P@R0.9: 0.3782
Epoch 111 | T-Loss: 0.1212 | V-Loss: 0.1212 | V-P@R0.9: 0.3755
Epoch 112 | T-Loss: 0.1208 | V-Loss: 0.1208 | V-P@R0.9: 0.3782
Epoch 113 | T-Loss: 0.1208 | V-Loss: 0.1207 | V-P@R0.9: 0.3780
Epoch 114 | T-Loss: 0.1206 | V-Loss: 0.1206 | V-P@R0.9: 0.3770
Epoch 115 | T-Loss: 0.1207 | V-Loss: 0.1205 | V-P@R0.9: 0.3771
Epoch 116 | T-Loss: 0.1205 | V-Loss: 0.1205 | V-P@R0.9: 0.3782
Epoch 117 | T-Loss: 0.1208 | V-Loss: 0.1208 | V-P@R0.9: 0.3777
Epoch 118 | T-Loss: 0.1204 | V-Loss: 0.1204 | V-P@R0.9: 0.3791
Epoch 119 | T-Loss: 0.1206 | V-Loss: 0.1206 | V-P@R0.9: 0.3766
Epoch 120 | T-Loss: 0.1204 | V-Loss: 0.1203 | V-P@R0.9: 0.3790
Epoch 121 | T-Loss: 0.1212 | V-Loss: 0.1213 | V-P@R0.9: 0.3795
Epoch 122 | T-Loss: 0.1203 | V-Loss: 0.1203 | V-P@R0.9: 0.3787
Epoch 123 | T-Loss: 0.1205 | V-Loss: 0.1204 | V-P@R0.9: 0.3768
Epoch 124 | T-Loss: 0.1201 | V-Loss: 0.1201 | V-P@R0.9: 0.3797
Epoch 125 | T-Loss: 0.1201 | V-Loss: 0.1200 | V-P@R0.9: 0.3797
Epoch 126 | T-Loss: 0.1206 | V-Loss: 0.1205 | V-P@R0.9: 0.3782
Epoch 127 | T-Loss: 0.1200 | V-Loss: 0.1199 | V-P@R0.9: 0.3803
Epoch 128 | T-Loss: 0.1203 | V-Loss: 0.1203 | V-P@R0.9: 0.3769
Epoch 129 | T-Loss: 0.1203 | V-Loss: 0.1203 | V-P@R0.9: 0.3791
Epoch 130 | T-Loss: 0.1201 | V-Loss: 0.1200 | V-P@R0.9: 0.3782
Epoch 131 | T-Loss: 0.1202 | V-Loss: 0.1202 | V-P@R0.9: 0.3797
Epoch 132 | T-Loss: 0.1198 | V-Loss: 0.1198 | V-P@R0.9: 0.3814
Epoch 133 | T-Loss: 0.1197 | V-Loss: 0.1198 | V-P@R0.9: 0.3781
Epoch 134 | T-Loss: 0.1198 | V-Loss: 0.1199 | V-P@R0.9: 0.3786
Epoch 135 | T-Loss: 0.1197 | V-Loss: 0.1198 | V-P@R0.9: 0.3801
Epoch 136 | T-Loss: 0.1202 | V-Loss: 0.1202 | V-P@R0.9: 0.3802
Epoch 137 | T-Loss: 0.1199 | V-Loss: 0.1200 | V-P@R0.9: 0.3794
Epoch 138 | T-Loss: 0.1200 | V-Loss: 0.1200 | V-P@R0.9: 0.3783
Epoch 139 | T-Loss: 0.1198 | V-Loss: 0.1197 | V-P@R0.9: 0.3808
Epoch 140 | T-Loss: 0.1197 | V-Loss: 0.1197 | V-P@R0.9: 0.3797
Epoch 141 | T-Loss: 0.1194 | V-Loss: 0.1195 | V-P@R0.9: 0.3798
Epoch 142 | T-Loss: 0.1197 | V-Loss: 0.1197 | V-P@R0.9: 0.3797
Epoch 143 | T-Loss: 0.1194 | V-Loss: 0.1194 | V-P@R0.9: 0.3818
Epoch 144 | T-Loss: 0.1198 | V-Loss: 0.1198 | V-P@R0.9: 0.3800
Epoch 145 | T-Loss: 0.1195 | V-Loss: 0.1196 | V-P@R0.9: 0.3792
Epoch 146 | T-Loss: 0.1198 | V-Loss: 0.1199 | V-P@R0.9: 0.3795
Epoch 147 | T-Loss: 0.1192 | V-Loss: 0.1193 | V-P@R0.9: 0.3811
Epoch 148 | T-Loss: 0.1197 | V-Loss: 0.1198 | V-P@R0.9: 0.3806
Epoch 149 | T-Loss: 0.1196 | V-Loss: 0.1196 | V-P@R0.9: 0.3807
Epoch 150 | T-Loss: 0.1194 | V-Loss: 0.1196 | V-P@R0.9: 0.3794
Epoch 151 | T-Loss: 0.1196 | V-Loss: 0.1197 | V-P@R0.9: 0.3793
Epoch 152 | T-Loss: 0.1197 | V-Loss: 0.1198 | V-P@R0.9: 0.3790
Epoch 153 | T-Loss: 0.1192 | V-Loss: 0.1194 | V-P@R0.9: 0.3790
Epoch 154 | T-Loss: 0.1190 | V-Loss: 0.1191 | V-P@R0.9: 0.3823
Epoch 155 | T-Loss: 0.1193 | V-Loss: 0.1195 | V-P@R0.9: 0.3798
Epoch 156 | T-Loss: 0.1191 | V-Loss: 0.1192 | V-P@R0.9: 0.3805
Epoch 157 | T-Loss: 0.1195 | V-Loss: 0.1197 | V-P@R0.9: 0.3797
Epoch 158 | T-Loss: 0.1191 | V-Loss: 0.1192 | V-P@R0.9: 0.3810
Epoch 159 | T-Loss: 0.1191 | V-Loss: 0.1193 | V-P@R0.9: 0.3813
Epoch 160 | T-Loss: 0.1192 | V-Loss: 0.1194 | V-P@R0.9: 0.3798
Epoch 161 | T-Loss: 0.1191 | V-Loss: 0.1193 | V-P@R0.9: 0.3815
